Category:,Congress,Bill Type,Bill Number,Vote Position
passage,115,hr,2430,Yea
passage,115,sjres,34,Yea
passage,115,hjres,41,Yea
passage,115,hr,244,Nay
passage,115,hr,1370,Yea
passage,115,hr,3364,Yea
passage,115,hjres,40,Yea
passage,115,hjres,69,Yea
passage,115,hconres,71,Yea
passage,115,hjres,38,Yea
passage,115,hjres,37,Yea
passage,115,hr,601,Nay
passage,115,sconres,3,Yea
passage,115,hr,72,Yea
passage,115,hjres,42,Yea
passage,115,s,89,Yea
passage,115,s,84,Yea
passage,115,hjres,67,Yea
passage,115,hjres,123,Yea
passage,115,s,722,Yea
passage,115,hr,2266,Yea
passage,115,hjres,111,Nay
passage,115,hr,1,Yea
passage,115,sres,176,Yea
passage,115,hjres,44,Yea
passage,115,hjres,58,Yea
passage,115,hjres,57,Yea
passage,115,hr,2810,Not Voting
passage,115,s,1182,Yea
passage,115,hr,1865,Yea
passage,115,hr,6147,Yea
passage,115,hr,5515,Yea
passage,115,hr,2,Yea
passage,115,hr,5515,Yea
passage,115,sjres,54,Not Voting
passage,115,hr,2,Yea
passage,115,sjres,64,Nay
passage,115,hr,302,Yea
passage,115,sjres,63,Nay
passage,115,hr,6,Yea
passage,115,hr,6,Yea
passage,115,hr,195,Yea
passage,115,hr,6157,Yea
passage,115,hr,1625,Yea
passage,115,sjres,52,Nay
passage,115,s,2155,Yea
passage,115,hr,1892,Yea
passage,115,s,2554,Yea
passage,115,hr,5895,Yea
passage,115,hr,6157,Yea
passage,115,s,140,Yea
passage,115,s,3021,Yea
passage,115,s,756,Not Voting
passage,115,sjres,57,Yea
passage,115,sres,584,Yea
passage,115,s,139,Yea
passage,115,s,2372,Yea
passage,115,hr,5895,Not Voting
passage,116,hr,2157,Yea
passage,116,sjres,53,Nay
passage,116,s,151,Yea
passage,116,hr,3055,Yea
veto-override,116,sjres,7,Nay
veto-override,116,sjres,54,Nay
passage,116,s,1790,Yea
veto-override,116,sjres,37,Not Voting
veto-override,116,sjres,38,Yea
passage,116,s,1790,Yea
passage,116,hr,1865,Yea
passage,116,hr,3055,Yea
passage,116,sres,212,Yea
passage,116,hjres,31,Yea
passage,116,sres,336,Yea
passage,116,sjres,50,Nay
passage,116,hr,2333,Yea
passage,116,sjres,52,Nay
passage,116,s,1,Yea
passage,116,sres,335,Yea
passage,116,sjres,36,Yea
passage,116,s,2740,Yea
passage,116,sjres,48,Yea
passage,116,hr,4378,Yea
passage,116,sjres,38,Yea
passage,116,hr,3401,Yea
passage,116,hr,3401,Nay
passage,116,hr,3877,Yea
veto-override,116,sjres,36,Not Voting
passage,116,hr,1327,Yea
passage,116,hr,1158,Yea
passage,116,s,47,Yea
passage,116,sres,332,Yea
passage,116,sres,331,Yea
passage,116,hjres,46,Nay
passage,116,sjres,54,Nay
passage,116,sres,333,Nay
passage,116,sjres,7,Nay
passage,116,sres,488,Yea
passage,116,hr,1957,Yea
passage,116,hr,6074,Yea
passage,116,hr,6172,Yea
passage,116,s,578,Yea
veto-override,116,hr,6395,Not Voting
passage,116,hr,133,Yea
passage,116,sres,483,Yea
passage,116,hr,748,Yea
passage,116,sjres,68,Nay
passage,116,s,4049,Yea
passage,116,hr,6395,Not Voting
passage,116,hr,5430,Yea
passage,116,hr,6201,Yea
passage,116,hr,8337,Yea
veto-override,116,sjres,68,Nay
passage,116,hjres,76,Nay
passage,117,sjres,32,Yea
passage,117,hr,5376,Nay
passage,117,hconres,119,Yea
passage,117,sjres,38,Yea
passage,117,s,5355,Nay
passage,117,hr,7776,Yea
passage,117,s,3373,Yea
passage,117,s,2938,Yea
passage,117,sjres,46,Yea
passage,117,hr,8404,Nay
passage,117,hr,7776,Yea
passage,117,hr,1437,Yea
passage,117,sjres,37,Yea
passage,117,hr,6968,Yea
passage,117,sjres,63,Yea
passage,117,hr,1437,Yea
passage,117,sjres,60,Yea
passage,117,hr,1437,Yea
passage,117,s,3436,Yea
passage,117,hr,6617,Not Voting
passage,117,hjres,100,Yea
passage,117,sjres,39,Yea
passage,117,hr,3967,Yea
passage,117,sjres,55,Yea
passage,117,s,3373,Nay
passage,117,hr,2617,Yea
passage,117,s,3373,Yea
passage,117,s,3373,Yea
passage,117,hr,4346,Yea
passage,117,hr,4521,Not Voting
passage,117,hr,7108,Yea
passage,117,hr,7776,Yea
passage,117,hr,3076,Yea
passage,117,hr,7691,Yea
passage,117,hr,6833,Yea
passage,117,hr,1868,Yea
passage,117,sres,47,Yea
passage,117,hr,3684,Yea
passage,117,hr,1319,Nay
passage,117,hr,335,Yea
passage,117,sjres,14,Yea
passage,117,s,1605,Yea
passage,117,sjres,33,Nay
passage,117,s,610,Nay
passage,117,s,1251,Yea
passage,117,hr,3237,Yea
passage,117,s,1301,Nay
passage,117,hr,1652,Yea
passage,117,s,1260,Yea
passage,117,hr,6119,Yea
passage,117,sjres,13,Nay
passage,117,hr,5305,Yea
passage,117,sjres,15,Nay
passage,117,hr,1799,Yea
passage,117,sconres,5,Nay
passage,117,s,914,Yea
passage,117,sres,16,Yea
passage,117,sjres,29,Yea
passage,117,sconres,14,Nay
passage,117,s,937,Yea
passage,118,hr,7463,Yea
passage,118,s,4072,Yea
veto-override,118,sjres,32,Yea
passage,118,sjres,61,Yea
veto-override,118,sjres,38,Yea
passage,118,hr,7888,Yea
passage,118,sjres,57,Yea
passage,118,s,3853,Yea
passage,118,hjres,109,Yea
passage,118,hr,2882,Yea
passage,118,sjres,58,Yea
passage,118,hjres,98,Yea
passage,118,hr,2882,Yea
passage,118,s,870,Yea
passage,118,hr,2882,Yea
passage,118,hr,815,Yea
passage,118,hr,3935,Yea
passage,118,sjres,62,Yea
passage,118,hr,2872,Not Voting
passage,118,hr,815,Nay
passage,118,hr,6363,Yea
passage,118,s,870,Yea
passage,118,sres,13,Not Voting
passage,118,hjres,42,Yea
passage,118,hjres,30,Yea
passage,118,sjres,9,Yea
passage,118,sres,21,Yea
passage,118,sres,417,Yea
passage,118,sjres,32,Yea
veto-override,118,sjres,9,Yea
veto-override,118,sjres,24,Yea
passage,118,sjres,42,Yea
passage,118,hjres,45,Yea
veto-override,118,sjres,11,Yea
passage,118,hjres,7,Yea
passage,118,hr,3746,Nay
passage,118,sjres,24,Yea
passage,118,sjres,11,Yea
passage,118,hjres,44,Yea
passage,118,hr,2670,Yea
passage,118,sjres,23,Yea
passage,118,sjres,43,Yea
passage,118,s,2226,Yea
passage,118,hr,4366,Yea
passage,118,hr,5860,Yea
passage,118,hr,662,Yea
passage,118,hjres,39,Yea
passage,118,sjres,38,Yea
passage,118,hjres,26,Yea
passage,118,sjres,18,Yea
passage,118,s,316,Nay
passage,118,hjres,27,Yea
